roi,neuron_count
ME_L_col_14_15,866
PB,865
ME_R_col_22_29,865
ME_R_col_11_17,865
ME_L_col_13_28,865
ME_L_col_07_21,865
ME_R_col_32_33,865
ME_R_col_20_31,865
ME_R_col_26_31,865
ME_R_col_27_31,864
ME_L_col_12_07,864
ME_L_col_10_10,864
ME_R_col_30_18,864
ME_L_col_17_33,864
ME_R_col_10_05,864
ME_L_col_18_11,864
ME_R_col_28_28,864
ME_L_col_25_26,864
ME_R_col_23_34,864
ME_R_col_17_30,863
ME_R_col_19_28,863
ME_R_col_31_23,863
ME_R_col_09_08,863
ME_L_col_31_32,863
ME_R_col_30_31,863
ME_R_col_31_31,863
ME_L_col_20_24,863
ME_L_col_14_16,863
ME_R_col_10_22,863
ME_L_col_23_35,863
ME_R_col_09_15,863
ME_R_col_14_07,863
ME_R_col_18_28,863
ME_L_col_22_19,863
ME_L_col_33_33,863
ME_R_col_13_06,862
ME_R_col_22_28,862
ME_L_col_24_28,862
ME_R_col_32_34,862
ME_R_col_27_33,862
ME_R_col_17_32,862
ME_R_col_29_17,862
ME_R_col_29_33,862
ME_L_col_31_23,862
ME_R_col_11_05,862
ME_R_col_11_28,862
ME_L_col_29_34,862
ME_R_col_11_13,861
ME_R_col_31_32,861
ME_R_col_27_27,861
ME_R_col_14_26,861
ME_R_col_31_20,861
ME_R_col_32_25,860
ME_L_col_21_24,860
ME_R_col_29_30,860
ME_R_col_12_29,860
ME_L_col_14_06,860
ME_R_col_18_31,860
ME_L_col_20_30,859
ME_L_col_26_23,859
ME_L_col_27_24,859
ME_L_col_24_25,859
ME_R_col_10_07,859
ME_L_col_29_23,859
ME_R_col_29_29,859
ME_L_col_22_15,859
ME_R_col_22_09,859
ME_L_col_27_21,859
ME_L_col_08_24,858
ME_L_col_32_31,858
ME_R_col_29_26,858
ME_R_col_26_34,858
ME_L_col_22_27,858
ME_L_col_24_31,858
ME_R_col_09_10,858
ME_L_col_29_27,857
ME_L_col_16_20,857
ME_L_col_16_18,857
ME_L_col_25_23,857
ME_L_col_20_22,857
ME_L_col_26_21,857
ME_L_col_23_34,857
ME_R_col_28_36,857
ME_R_col_24_26,857
ME_R_col_11_23,857
ME_R_col_30_33,856
ME_L_col_25_22,856
ME_R_col_09_11,856
ME_L_col_33_28,856
ME_R_col_26_33,856
ME_R_col_27_35,856
ME_R_col_23_23,856
ME_L_col_26_13,856
ME_R_col_31_36,855
ME_L_col_09_07,855
ME_R_col_10_06,855
ME_R_col_18_33,855
ME_R_col_23_35,855
ME_L_col_18_25,855
ME_R_col_09_17,855
ME_L_col_24_11,855
ME_L_col_28_26,855
ME_R_col_16_28,855
ME_L_col_26_26,854
ME_R_col_32_31,854
ME_R_col_10_10,854
ME_R_col_30_35,854
ME_L_col_14_10,854
ME_L_col_22_25,854
ME_R_col_11_16,854
ME_R_col_26_32,854
ME_L_col_20_34,854
ME_L_col_25_29,854
ME_L_col_24_35,854
ME_R_col_10_17,854
ME_L_col_18_23,853
ME_R_col_16_30,853
ME_L_col_23_25,853
ME_R_col_27_29,853
ME_L_col_32_25,853
ME_R_col_22_27,853
ME_L_col_11_11,853
ME_R_col_23_32,853
ME_R_col_09_12,853
LO_R_col_20_17,853
ME_R_col_23_27,853
ME_L_col_13_22,852
ME_L_col_11_15,852
ME_L_col_20_07,852
ME_R_col_23_26,852
ME_R_col_26_25,852
ME_R_col_16_29,852
ME_R_col_17_29,852
ME_L_col_31_21,852
ME_L_col_15_07,852
ME_R_col_11_15,851
ME_L_col_12_05,851
ME_R_col_33_28,851
ME_R_col_07_08,851
ME_L_col_21_08,851
ME_R_col_20_34,851
ME_L_col_16_14,851
ME_R_col_22_32,850
ME_L_col_26_24,850
ME_L_col_27_34,850
ME_L_col_24_34,850
ME_R_col_15_05,850
ME_L_col_22_34,850
ME_R_col_21_34,850
ME_R_col_10_26,850
ME_L_col_13_06,850
ME_R_col_13_30,849
ME_R_col_20_26,849
ME_L_col_25_32,849
ME_R_col_22_35,849
ME_R_col_21_27,849
ME_R_col_27_30,849
ME_R_col_11_09,849
ME_R_col_10_27,849
ME_R_col_26_26,849
ME_L_col_25_36,849
ME_R_col_09_18,849
ME_L_col_16_27,848
ME_L_col_08_21,848
ME_R_col_24_33,848
ME_R_col_19_27,848
ME_R_col_11_08,848
ME_L_col_16_23,847
ME_R_col_31_34,847
ME_L_col_13_07,847
ME_R_col_18_06,847
LO_R_col_19_18,847
ME_L_col_16_25,847
ME_L_col_15_20,847
ME_R_col_09_23,846
ME_L_col_32_30,846
ME_L_col_13_05,846
ME_L_col_26_36,846
ME_L_col_27_22,846
ME_L_col_26_30,846
ME_R_col_20_29,846
ME_L_col_12_23,846
ME_R_col_26_36,846
ME_L_col_29_29,846
ME_R_col_10_12,846
ME_R_col_24_34,846
ME_L_col_17_24,846
ME_R_col_14_04,845
ME_L_col_17_25,845
ME_R_col_10_13,845
ME_L_col_09_11,845
ME_L_col_13_04,845
ME_L_col_31_29,845
ME_L_col_13_27,845
ME_L_col_15_29,845
ME_R_col_10_25,845
ME_R_col_24_27,845
ME_R_col_18_32,845
ME_L_col_28_28,845
ME_L_col_20_31,844
ME_L_col_23_29,844
ME_L_col_31_26,844
ME_R_col_24_28,844
ME_R_col_10_11,844
ME_R_col_07_12,844
ME_L_col_12_10,844
ME_L_col_11_28,844
ME_R_col_08_12,843
ME_L_col_19_22,843
ME_L_col_21_26,843
ME_L_col_29_33,843
ME_L_col_21_30,843
ME_L_col_11_24,843
ME_L_col_14_11,843
ME_L_col_14_07,843
ME_R_col_11_20,843
ME_R_col_28_26,842
ME_L_col_12_13,842
ME_R_col_33_27,842
ME_L_col_24_24,842
ME_R_col_24_25,842
ME_L_col_29_32,842
ME_L_col_09_12,842
ME_L_col_09_18,842
ME_L_col_28_24,842
ME_R_col_26_29,842
ME_L_col_26_28,842
ME_R_col_10_23,841
ME_L_col_09_09,841
ME_L_col_14_22,841
ME_R_col_19_33,841
ME_L_col_29_25,841
ME_L_col_12_15,841
ME_L_col_15_11,840
ME_L_col_25_35,840
ME_R_col_25_27,840
ME_R_col_06_13,840
ME_R_col_08_08,840
ME_L_col_25_28,840
ME_L_col_28_16,839
ME_L_col_15_22,839
ME_R_col_07_07,839
ME_L_col_18_32,839
ME_L_col_26_32,839
ME_L_col_11_18,839
ME_L_col_18_26,838
ME_L_col_21_31,838
ME_L_col_31_30,838
