type,count
IN06B080,9
IN20A.22A047,9
IN09A074,9
IN06B064,9
IN07B066,9
IN01A070,9
IN20A.22A065,9
IN05B091,9
IN20A.22A059,9
IN03B064,9
IN23B089,9
IN20A.22A086,9
IN07B100,9
IN09A071,9
IN03B086_d,9
IN09A096,9
IN03B088,9
Dm17,8
SMP568_a,8
CB4176,8
PVLP085,8
CB3024,8
l-LNv,8
mAL_m3b,8
CB1078,8
VA1v_adPN,8
PS241,8
PVLP203m,8
LT78,8
SIP104m,8
Li29,8
PLP054,8
AN05B097,8
AOTU015,8
SLP103,8
SMP162,8
AVLP297,8
AVLP734m,8
PVLP112,8
CL086_e,8
AVLP103,8
WED117,8
hDeltaH,8
VC3_adPN,8
PI3,8
mAL_m6,8
PVLP098,8
AVLP265,8
AN09B023,8
GNG438,8
EN00B026,8
LHAV4a1_b,8
SMP726m,8
PRW044,8
AVLP038,8
CB4105,8
SMP357,8
AVLP709m,8
aIPg1,8
WEDPN6B,8
SMP741,8
PS221,8
s-LNv,8
AVLP451,8
LPT31,8
AMMC015,8
CL086_a,8
AVLP584,8
AVLP401,8
DL2v_adPN,8
SAD079,8
BM_Vt_PoOc,8
SMP740,8
PVLP099,8
CB1838,8
AN17A015,8
WED128,8
GNG635,8
AVLP462,8
hDeltaM,8
WED201,8
SMP297,8
CL353,8
AN09B018,8
LH007m,8
hDeltaD,8
DNg12_a,8
PVLP207m,8
SMP319,8
AOTU016_b,8
WEDPN7B,8
DN1pA,8
LAL302m,8
AVLP312,8
CB3464,8
hDeltaG,8
AMMC006,8
LHPD3a2_b,8
SIP122m,8
LHAV1a1,8
SLP012,8
SMP721m,8
SLP223,8
hDeltaE,8
CB0993,8
CL014,8
AVLP349,8
PVLP205m,8
PRW010,8
CB4124,8
WED032,8
LHPV2a1_c,8
LHAV6a7,8
CRE044,8
CL016,8
AVLP526,8
Lat1,8
SMP459,8
hDeltaF,8
PS097,8
PVLP101,8
DNge115,8
P1_16b,8
CL086_c,8
VP1m+VP2_lvPN2,8
SMP307,8
CL225,8
aMe2,8
LHAV2k9,8
LoVP17,8
GNG386,8
PLP026,8
CL275,8
AVLP480,8
AVLP005,8
CB2950,8
SLP227,8
LHAD1b1_b,8
CB1897,8
LAL021,8
VES034_b,8
PS095,8
CB1048,8
LHAV2b1,8
DNge085,8
PLP028,8
AVLP481,8
MeVP16,8
WEDPN6A,8
SLP229,8
CB4228,8
DNpe054,8
M_lvPNm48,8
CB1352,8
CB2285,8
SLP152,8
CB4141,8
SMP279_a,8
SLP189_b,8
LHPV4c1_b,8
LHPD2a4_a,8
CB4168,8
SMP487,8
v2LN34D,8
CB1276,8
CB2143,8
SAD007,8
LoVP24,8
WED168,8
AVLP559,8
VES037,8
LHAV4a5,8
IB032,8
CB2784,8
CB0975,8
SMP243,8
LHPV4i3,8
CB2479,8
GNG320,8
CB3261,8
LHAD1b2,8
LHAV4a7,8
WED037,8
SLP002,8
SIP011,8
CB1464,8
SLP087,8
GNG269,8
SLP314,8
AVLP028,8
CB2433,8
PRW039,8
CB4062,8
ANXXX084,8
CB2343,8
LoVP11,8
AOTU056,8
PLP042_b,8
LHPV4c1_c,8
GNG610,8
CRE052,8
PS268,8
SMP215,8
"SApp11,SApp18",8
SMP171,8
CB4209,8
Lat3,8
M_vPNml83,8
CB3953,8
LAL050,8
CB2720,8
SMP461,8
CRE018,8
CB2678,8
AN07B049,8
LAL034,8
SMP016_b,8
CB1759b,8
LHAV5a2_a2,8
LHPD2a6,8
LHAD1d1,8
PLP192,8
CB2823,8
SMP739,8
CB1909,8
LHPV4b2,8
LHPV5a2,8
SMP361,8
SLP142,8
SIP003_a,8
PLP048,8
CB2896,8
LAL067,8
SLP088_a,8
SIP015,8
LHPV4g2,8
CB2064,8
AVLP463,8
CL018,8
CB1705,8
SMP591,8
LHAV7a3,8
SA3,8
LAL071,8
SLP199,8
AOTU058,8
AVLP199,8
CB1024,8
SAF,8
AMMC002,8
LHPV5c1_a,8
LHPV5h4,8
LHPD3a5,8
SLP102,8
CB3308,8
CB2625,8
SMP320,8
LHPD4a1,8
CB4010,8
CL147,8
SIP003_b,8
WED143_a,8
CB1062,8
SIP078,8
SLP217,8
CB2208,8
M_vPNml84,8
LHPD4b1,8
LB4b,8
SIP112m,8
CB0973,8
CB2892,8
CB1794,8
LHPD3a2_a,8
SMP523,8
SMP232,8
SMP719m,8
CRE056,8
SMP450,8
SMP705m,8
CB1975,8
SApp13,8
SMP174,8
SMP453,8
SMP007,8
FB6S,8
AN08B079_b,8
LgAG4,8
PS005_a,8
LHPV5c1_d,8
LgAG8,8
AN10B034,8
FB4Z_a,8
FB9C,8
CB1548,8
HRN_VP1l,8
SNpp30,8
Tergopleural/Pleural promotor MN,8
IN03B035,8
IN19A008,8
INXXX044,8
INXXX126,8
IN23B009,8
INXXX297,8
IN12B035,8
IN09A006,8
vPR6,8
IN13A034,8
DLMn c-f,8
IN12B020,8
INXXX440,8
IN21A017,8
IN06A063,8
IN19B068,8
IN23B008,8
IN12A036,8
IN19A096,8
IN13B050,8
IN20A.22A010,8
IN16B055,8
IN01A059,8
IN08B056,8
IN19B050,8
INXXX231,8
INXXX332,8
MNad14,8
INXXX315,8
IN03A033,8
MNad06,8
SNpp32,8
IN13A055,8
IN06B070,8
IN13A022,8
