type,count
IN14A014,6
IN13B018,6
IN23B030,6
IN01A077,6
INXXX316,6
IN13B017,6
IN13B019,6
IN01A025,6
MNad08,6
IN00A026,6
IN00A024,6
IN02A020,6
IN03A057,6
IN21A049,6
IN16B053,6
IN09A020,6
IN13A021,6
IN23B047,6
INXXX281,6
INXXX331,6
IN19B066,6
IN19A046,6
SNta05,6
IN01A058,6
IN08B068,6
IN01B010,6
IN21A042,6
INXXX443,6
IN00A045,6
IN19A045,6
IN04A002,6
IN16B041,6
IN11A025,6
IN16B037,6
IN13B054,6
IN23B031,6
MNad03,6
IN16B058,6
IN01B022,6
IN20A.22A030,6
IN12A035,6
MNad10,6
IN03B084,6
IN23B025,6
IN13A024,6
"IN14A042,IN14A047",6
INXXX417,6
IN03A029,6
IN06B071,6
IN20A.22A054,6
SNxx17,6
IN14B010,6
IN04B084,6
IN14A087,6
IN01A069,6
IN12B024_a,6
IN03A092,6
INXXX377,6
INXXX280,6
IN02A015,6
IN09A027,6
IN12B024_b,6
IN14A037,6
IN06A066,6
IN07B068,6
IN16B070,6
IN06A109,6
IN11A022,6
IN18B042,6
IN12B024_c,6
IN13B036,6
IN23B070,6
IN04B091,6
IN12B068_a,6
IN11A014,6
IN07B048,6
IN08B065,6
IN09B046,6
INXXX415,6
IN17A111,6
IN01B067,6
INXXX386,6
IN19B073,6
IN23B063,6
IN03B054,6
IN14A025,6
INXXX416,6
IN02A043,6
IN18B054,6
IN03A047,6
IN09A021,6
IN10B033,6
IN09B043,6
IN08A024,6
IN03A084,6
IN23B078,6
IN04B037,6
IN01A078,6
IN13B070,6
"IN17A088, IN17A089",6
IN19A061,6
IN12B063_c,6
IN03B056,6
IN16B093,6
IN21A038,6
IN04B063,6
IN04B062,6
IN07B044,6
IN00A054,6
IN06A140,6
IN14A044,6
IN13A044,6
SNxx10,6
IN16B071,6
IN21A054,6
IN16B098,6
IN21A044,6
IN07B094_b,6
IN09B047,6
IN14A108,6
IN18B051,6
IN23B054,6
IN09A070,6
IN20A.22A056,6
IN06B087,6
IN01B025,6
IN12B043,6
IN02A064,6
IN19B084,6
IN13A042,6
IN06A042,6
Sternal adductor MN,6
IN13B057,6
SNxx28,6
IN02A057,6
IN12B026,6
IN19A054,6
IN09A049,6
IN16B069,6
IN13B074,6
IN09A078,6
IN10B054,6
IN06A072,6
IN16B097,6
IN12A062,6
IN01B049,6
IN09A091,6
IN01A071,6
IN01A066,6
IN06A011,6
IN01B052,6
IN02A052,6
SNpp11,6
IN06B082,6
IN05B088,6
IN21A056,6
IN09A042,6
IN19B080,6
IN07B083_b,6
IN03B063,6
IN16B082,6
SNpp38,6
IN07B090,6
SNpp35,6
IN16B090,6
IN06A103,6
IN12B054,6
IN09B049,6
IN09A063,6
IN13B064,6
IN10B052,6
IN09A073,6
SNpp14,6
IN21A077,6
IN09A066,6
IN09A045,6
SNpp15,6
IN14A118,6
IN08B104,6
IN07B077,6
IN02A045,6
IN19A100,6
IN02A048,6
IN09A054,6
IN21A078,6
IN06A108,6
IN03B081,6
IN03B090,6
IN12B044_e,6
IN16B089,6
IN13B076,6
SNpp20,6
IN01A081,6
IN19A067,6
IN12A063_b,6
IN13A061,6
"SApp23,SNpp56",6
MNml78,6
IN13B097,6
SNxx16,6
Ta depressor MN,6
IN06B065,6
"IN14A048, IN14A102",6
MNml80,6
SNpp59,6
AN00A006,5
AN06B002,5
DNg12_c,5
DNg02_b,5
DNge108,5
DNg36_b,5
AN14A003,5
ANXXX145,5
AN12B055,5
AN08B059,5
LgAG7,5
AN08B097,5
AN19B093,5
AN08B047,5
AN07B076,5
AN06A092,5
AN07B091,5
IN17A016,5
IN01B079,5
IN13B010,5
IN08B108,5
IN08A040,5
IN04B024,5
IN17A094,5
IN23B039,5
IN23B041,5
IN04B025,5
IN12A030,5
IN20A.22A013,5
IN05B065,5
IN13A015,5
IN20A.22A023,5
IN08B063,5
IN00A033,5
IN23B057,5
IN00A017,5
IN20A.22A066,5
IN20A.22A035,5
IN12B033,5
