roi,neuron_count
ME_R_col_09_15,863
ME_L_col_18_11,863
ME_R_col_28_28,863
ME_L_col_07_21,862
ME_L_col_10_10,862
ME_R_col_31_23,862
ME_R_col_27_33,862
ME_R_col_19_28,862
ME_R_col_14_07,862
ME_R_col_13_06,862
ME_L_col_14_16,861
ME_R_col_29_17,861
ME_R_col_31_31,861
ME_L_col_17_33,861
ME_R_col_29_33,861
ME_R_col_32_34,861
ME_R_col_22_28,861
ME_L_col_23_35,861
ME_L_col_31_32,861
ME_L_col_24_28,861
ME_R_col_11_05,861
ME_R_col_11_13,861
ME_R_col_09_08,861
ME_R_col_17_32,861
ME_L_col_20_24,861
ME_R_col_17_30,861
ME_L_col_31_23,861
ME_R_col_18_28,861
ME_R_col_30_31,861
ME_R_col_31_20,860
ME_R_col_31_32,860
ME_L_col_29_34,860
ME_L_col_22_19,860
ME_R_col_27_27,860
ME_R_col_32_25,860
ME_L_col_14_06,859
ME_R_col_10_22,859
ME_L_col_24_25,859
ME_R_col_11_28,859
ME_L_col_26_23,859
ME_R_col_10_07,858
ME_L_col_24_31,858
ME_L_col_27_21,858
ME_R_col_29_30,858
ME_L_col_29_23,858
ME_R_col_22_09,858
ME_R_col_18_31,858
ME_L_col_22_15,858
ME_L_col_20_30,858
ME_L_col_21_24,858
ME_L_col_22_27,857
ME_R_col_12_29,857
ME_R_col_29_26,857
ME_R_col_29_29,857
ME_L_col_32_31,857
ME_L_col_27_24,857
ME_R_col_14_26,857
ME_L_col_25_23,857
ME_R_col_09_10,857
ME_L_col_20_22,856
ME_R_col_28_36,856
ME_L_col_16_18,856
ME_L_col_08_24,856
ME_R_col_26_34,856
ME_L_col_26_21,856
ME_L_col_26_13,856
ME_L_col_29_27,856
ME_L_col_23_34,856
ME_L_col_25_22,855
ME_L_col_28_26,855
ME_R_col_09_11,855
ME_R_col_11_23,855
ME_L_col_16_20,855
ME_R_col_23_23,855
ME_R_col_24_26,855
ME_R_col_30_33,855
ME_R_col_26_33,855
ME_R_col_27_35,855
ME_L_col_18_25,855
ME_R_col_10_06,854
ME_R_col_09_17,854
ME_L_col_25_29,854
ME_L_col_33_28,854
PB,854
ME_L_col_09_07,854
ME_R_col_18_33,854
ME_L_col_24_11,854
ME_L_col_22_25,853
ME_L_col_23_25,853
ME_L_col_26_26,853
ME_R_col_09_12,853
ME_R_col_11_16,853
ME_R_col_10_10,853
ME_R_col_23_35,853
ME_L_col_20_34,853
ME_R_col_16_28,853
ME_R_col_32_31,853
ME_L_col_14_10,853
ME_R_col_31_36,853
ME_L_col_18_23,853
ME_R_col_26_32,853
ME_R_col_30_35,853
ME_L_col_24_35,852
ME_R_col_17_29,852
ME_R_col_27_29,852
ME_R_col_23_32,852
ME_R_col_10_17,852
ME_L_col_11_11,852
ME_R_col_23_26,851
ME_L_col_32_25,851
ME_R_col_33_28,851
ME_L_col_13_22,851
ME_R_col_22_27,851
ME_R_col_11_15,851
ME_L_col_20_07,851
ME_R_col_16_30,851
ME_R_col_26_25,851
ME_R_col_23_27,851
ME_L_col_24_34,850
ME_L_col_27_34,850
ME_R_col_07_08,850
ME_L_col_16_14,850
ME_L_col_15_07,850
ME_L_col_11_15,850
ME_R_col_21_34,850
ME_L_col_31_21,850
ME_R_col_16_29,850
ME_L_col_26_24,849
ME_R_col_15_05,849
ME_R_col_22_32,849
ME_R_col_20_34,849
ME_L_col_21_08,849
ME_L_col_13_06,849
LO_R_col_20_17,849
ME_L_col_12_05,849
ME_R_col_27_30,848
ME_L_col_22_34,848
ME_R_col_22_35,848
ME_L_col_25_36,848
ME_L_col_25_32,848
ME_R_col_11_09,848
ME_R_col_10_26,848
ME_R_col_10_27,847
ME_R_col_09_18,847
ME_L_col_16_27,847
ME_L_col_16_25,847
ME_R_col_24_33,847
ME_R_col_26_26,847
ME_R_col_13_30,847
ME_R_col_21_27,847
ME_R_col_19_27,847
ME_R_col_11_08,847
ME_L_col_13_07,847
ME_R_col_31_34,847
ME_L_col_08_21,847
ME_L_col_16_23,847
ME_L_col_12_23,846
ME_R_col_24_34,846
ME_R_col_26_36,846
ME_L_col_13_05,846
ME_R_col_20_26,846
ME_R_col_18_06,846
ME_L_col_17_24,846
ME_L_col_32_30,846
LO_R_col_19_18,845
ME_L_col_13_27,845
ME_L_col_15_20,845
ME_L_col_13_04,845
ME_L_col_15_29,845
ME_L_col_17_25,845
ME_R_col_14_04,845
ME_R_col_20_29,845
ME_L_col_26_36,845
ME_R_col_10_13,845
ME_L_col_26_30,845
ME_R_col_09_23,845
ME_R_col_10_12,844
ME_L_col_27_22,844
ME_L_col_28_28,844
ME_L_col_29_29,844
ME_R_col_18_32,844
ME_L_col_09_11,844
ME_R_col_24_27,844
ME_R_col_07_12,844
ME_L_col_12_10,844
ME_L_col_31_29,843
ME_L_col_23_29,843
ME_L_col_11_28,843
ME_L_col_20_31,843
ME_L_col_19_22,843
ME_R_col_10_25,843
ME_R_col_10_11,843
ME_L_col_11_24,843
ME_L_col_14_11,843
ME_L_col_14_07,843
ME_L_col_21_30,842
ME_L_col_31_26,842
ME_R_col_08_12,842
ME_L_col_29_33,842
ME_R_col_24_28,842
ME_L_col_12_13,841
ME_R_col_33_27,841
ME_R_col_28_26,841
ME_R_col_24_25,841
ME_L_col_09_18,841
ME_L_col_09_09,841
ME_L_col_09_12,841
ME_L_col_29_32,841
ME_L_col_21_26,841
ME_L_col_24_24,841
ME_L_col_28_24,841
ME_R_col_11_20,841
ME_L_col_26_28,840
ME_R_col_10_23,840
ME_L_col_29_25,840
ME_L_col_14_22,840
ME_L_col_12_15,840
ME_L_col_26_32,839
ME_L_col_25_28,839
ME_L_col_11_18,839
ME_L_col_15_11,839
ME_L_col_15_22,839
ME_L_col_28_16,839
ME_R_col_19_33,839
ME_L_col_25_35,839
ME_R_col_07_07,838
ME_L_col_16_11,838
ME_L_col_11_09,838
ME_R_col_26_29,838
ME_L_col_16_13,838
ME_R_col_25_27,838
ME_L_col_18_26,838
ME_R_col_06_13,838
ME_R_col_08_08,838
ME_R_col_33_25,837
ME_R_col_32_22,837
ME_L_col_18_32,837
ME_L_col_18_06,837
ME_R_col_08_14,837
ME_R_col_06_14,837
LO_R_col_19_14,836
ME_R_col_33_26,836
ME_L_col_25_25,836
ME_L_col_31_30,836
ME_L_col_32_28,836
ME_R_col_17_05,836
ME_L_col_21_31,836
ME_R_col_32_32,836
ME_L_col_28_29,835
ME_R_col_32_23,835
ME_L_col_12_08,835
LO_R_col_24_17,835
ME_L_col_09_08,835
ME_R_col_09_16,835
ME_L_col_25_24,835
ME_L_col_19_26,835
ME_R_col_26_28,835
ME_L_col_15_27,834
ME_L_col_14_30,834
ME_R_col_31_28,834
ME_L_col_19_23,834
ME_R_col_07_13,834
ME_R_col_28_29,834
ME_R_col_21_26,834
ME_R_col_28_15,833
